text|source|page|chunk_id
"REVIEW METHODIST DEBAKEY CARDIOVASC J | 13 (4) 2017
JOURNAL.HOUSTONMETHODIST.ORG
185
INTRODUCTION
Cardiovascular disease (CVD) remains the leading cause of 
mortality in women in the United States.1 Although the overall 
management of CVD is similar for both genders, gender-based variations exist in the pathophysiology,
2,3 symptoms,4 
presentation, efficacy of diagnostic tests, and response to pharmacological interventions. Some relevant differences"|data_input/cureus/i1947-6094-13-4-185.pdf|0|3dc851440134402d87573a15088a4351
"between men and women are summarized in Table 1 .
Research has shown that women have less obstructive but 
more diffuse coronary artery disease (CAD) and a higher 1-year mortality rate after acute myocardial infarction when 
compared to men.
5 Among women, black women seem to 
have the highest CAD death rates. Finally, both women and 
physicians are less aware of and less proficient in identifying 
CVD in women. Prevention and management of CVD in women,"|data_input/cureus/i1947-6094-13-4-185.pdf|0|51dc59c88fb141e1a0ad643fd6109a21
"therefore, should begin with awareness of the problem and an understanding of the disease’s unique characteristics and challenges in women.
The first guidelines for CVD prevention tailored to women 
were published in 2004 and later updated in 2007 and 2011.
6 
Although the general CVD risk factors in men and women are similar, some exceptions unique to women were detailed in 
these guidelines. The following reviews some of the important"|data_input/cureus/i1947-6094-13-4-185.pdf|0|5e5c6f31324f4f8ea805b0964a33cf41
"risk factors for CVD and the current state of prevention, guidelines, and management of CVD in women.TRADITIONAL RISK FACTORS
Non-Modifiable
Age.  Age is one of the most powerful risk factors for developing 
CVD. The cardioprotective effect of estrogen for premenopausal 
women results in a roughly 8- to 10-year lag in the onset of CAD in women. After the age of 55, the risk for CAD increases similarly in both men and women.
7
Modifiable
Smoking.  According to the American Heart Association"|data_input/cureus/i1947-6094-13-4-185.pdf|0|08615e84dd1245e2b5c0037f8325f1c0
"(AHA), 13% of women in the United States who are over 18 
years of age are current smokers. Although the percentage of 
women smokers is lower than men, a recent meta-analysis of 75 
cohort studies (approximately 2.4 million individuals) showed a 25% greater risk of CAD in women smokers compared with male smokers (RR, 1.25; 95% CI, 1.12-1.39).
1 In a report from 
the Nurses’ Health Study of 85,941 women with a 14-year follow-up, reduction in smoking accounted for a 13% decline in"|data_input/cureus/i1947-6094-13-4-185.pdf|0|bee9f43fb9a2448195d98d5d70438e54
"the incidence of CAD.
8
As in men, women should be advised not to smoke and to 
avoid environmental tobacco smoke. Smoking cessation counseling at each encounter, nicotine replacement, and other 
pharmacotherapy options as indicated in conjunction with a 
formal smoking cessation program should be considered.
2Prevention of Cardiovascular Disease in Women
Anum Saeed,  M.D.b; June Kampangkaew , M.D.b; Vijay Nambi, M.D., Ph.D.a,b"|data_input/cureus/i1947-6094-13-4-185.pdf|0|18addc8ee4224a739ad8c198b180916e
"aMICHAEL E. DEBAKEY V A MEDICAL CENTER, HOUSTON, TEXAS; bBA YLOR COLLEGE OF MEDICINE, HOUSTON, TEXAS
ABSTRACT: Cardiovascular diseases are the leading cause of morbidity and mortality among women worldwide. The pathophysiological basis 
of cardiovascular health among men and women is not identical. This leads to variable cardiovascular responses to stimulus and presentation of cardiovascular disease symptoms, both of which can have a direct effect on treatment outcomes."|data_input/cureus/i1947-6094-13-4-185.pdf|0|d0041b09870440d890f6a8f7c4fd9482
Traditionally, the enrollment of women in clinical trials has been minimal, resulting in a lack of gender-specific analysis of clinical trial data|data_input/cureus/i1947-6094-13-4-185.pdf|0|ab41aca9e95b4c00a51ac0ed9416aba0
and, therefore, the absence of concrete risk factor assessment among women. However, scientific progress in the past decade has identified a spectrum of risk factors for cardiovascular diseases that may be specific to women. These risk factors, which may include menopause, hypertensive disease of pregnancy, and depression, confer additional risk in women besides the traditional risk factors. The current state of knowledge and awareness about these risk factors is suboptimal at this time.|data_input/cureus/i1947-6094-13-4-185.pdf|0|41d55617165841138adf447ee9bc4560
these risk factors is suboptimal at this time. Therefore, although the treatment of cardiovascular diseases is|data_input/cureus/i1947-6094-13-4-185.pdf|0|049f37c70ac942f8b0ab05f93580571e
