node_1|node_2|edge|chunk_id|count
Cardiovascular disease (CVD)|leading cause of mortality|in women in the United States|3dc851440134402d87573a15088a4351|4
women|men|comparison between men and women|51dc59c88fb141e1a0ad643fd6109a21|4
women|coronary artery disease (CAD)|having less obstructive but more diffuse coronary artery disease (CAD)|51dc59c88fb141e1a0ad643fd6109a21|4
women|1-year mortality rate after acute myocardial infarction|higher 1-year mortality rate after acute myocardial infarction|51dc59c88fb141e1a0ad643fd6109a21|4
women|black women|having the highest CAD death rates|51dc59c88fb141e1a0ad643fd6109a21|4
women|physicians|less aware of and less proficient in identifying CVD in women|51dc59c88fb141e1a0ad643fd6109a21|4
prevention and management of CVD in women|women|related to prevention and management of CVD in women|51dc59c88fb141e1a0ad643fd6109a21|4
CVD prevention|guidelines for women|were published in 2004 and later updated in 2007 and 2011|5e5c6f31324f4f8ea805b0964a33cf41|4
CVD prevention|general CVD risk factors|are similar in men and women|5e5c6f31324f4f8ea805b0964a33cf41|4
CVD prevention|exceptions unique to women|were detailed in these guidelines|5e5c6f31324f4f8ea805b0964a33cf41|4
CVD|risk factors for CVD|topic being discussed|08615e84dd1245e2b5c0037f8325f1c0|4
Non-Modifiable|Age|one of the non-modifiable risk factors|08615e84dd1245e2b5c0037f8325f1c0|4
Age|developing CVD|relationship between age and developing CVD|08615e84dd1245e2b5c0037f8325f1c0|4
Cardioprotective effect|estrogen for premenopausal women|cardioprotective effect of estrogen on premenopausal women|08615e84dd1245e2b5c0037f8325f1c0|4
Age|CAD in women|age as a risk factor for CAD in women|08615e84dd1245e2b5c0037f8325f1c0|4
After the age of 55|risk for CAD increases similarly in both men and women|relationship between increasing age and risk for CAD|08615e84dd1245e2b5c0037f8325f1c0|4
Modifiable|Smoking|one of the modifiable risk factors|08615e84dd1245e2b5c0037f8325f1c0|4
American Heart Association|according to|source for information on smoking as a risk factor|08615e84dd1245e2b5c0037f8325f1c0|4
CAD|women smokers|Greater risk of CAD in women smokers|bee9f43fb9a2448195d98d5d70438e54|4
women smokers|men smokers|Percentage of women smokers lower than men smokers|bee9f43fb9a2448195d98d5d70438e54|4
CAD|male smokers|Greater risk of CAD in male smokers|bee9f43fb9a2448195d98d5d70438e54|4
reduction in smoking|decline in|Reduction in smoking accounted for a decline in|bee9f43fb9a2448195d98d5d70438e54|4
CAD|Smoking|avoided by not smoking and avoiding environmental tobacco smoke|18addc8ee4224a739ad8c198b180916e|4
CAD|smoking cessation counseling|is advised for preventing CAD in women|18addc8ee4224a739ad8c198b180916e|4
smoking cessation counseling|pharmacotherapy options|are considered in conjunction with a formal smoking cessation program|18addc8ee4224a739ad8c198b180916e|4
smoking cessation counseling|encounter|should be advised at each encounter|18addc8ee4224a739ad8c198b180916e|4
Cardiovascular diseases|leading cause of morbidity and mortality|among women worldwide|d0041b09870440d890f6a8f7c4fd9482|4
pathophysiological basis|cardiovascular health among men and women|is not identical|d0041b09870440d890f6a8f7c4fd9482|4
variable cardiovascular responses|to stimulus|presentation of cardiovascular disease symptoms|d0041b09870440d890f6a8f7c4fd9482|4
Enrollment of women|Clinical trials|minimal enrollment in|ab41aca9e95b4c00a51ac0ed9416aba0|4
Lack of gender-specific analysis|Clinical trial data|caused by minimal enrollment|ab41aca9e95b4c00a51ac0ed9416aba0|4
absence of concrete risk factor assessment|women|in the context|41d55617165841138adf447ee9bc4560|4
scientific progress in the past decade|identified a spectrum of risk factors for cardiovascular diseases specific to women|related in one sentence|41d55617165841138adf447ee9bc4560|4
risk factors|may include menopause, hypertensive disease of pregnancy, and depression|in the context|41d55617165841138adf447ee9bc4560|4
additional risk in women|traditional risk factors|related in one sentence|41d55617165841138adf447ee9bc4560|4
current state of knowledge and awareness|about these risk factors is suboptimal at this time|in the context|41d55617165841138adf447ee9bc4560|4
risk factors|treatment of cardiovascular diseases|suboptimal at this time|049f37c70ac942f8b0ab05f93580571e|4
appropriate risk stratification|women compared to men|limited in women|98766d3c26264911a6e069fe8f407de8|4
Obesity|National Health and Nutrition Examination Survey (NHANES)|Obesity according to the 2013 NHANES|625ca13741b848cc90a19689e2c681ab|4
Obesity|U.S. adults aged ≥ 20 years|Among U.S. adults aged ≥ 20 years, Obesity|625ca13741b848cc90a19689e2c681ab|4
Obesity|37.7% were obese|37.7% of adults were obese|625ca13741b848cc90a19689e2c681ab|4
Obesity|metabolic syndrome|Obesity is thought to be related to metabolic syndrome|625ca13741b848cc90a19689e2c681ab|4
CAD|postmenopausal women|Impact of obesity on development of CAD in postmenopausal women|625ca13741b848cc90a19689e2c681ab|4
CAD|redistribution of fat around the abdominal area|Greater impact of obesity on CAD due to redistribution of fat|625ca13741b848cc90a19689e2c681ab|4
CAD|guidelines on CVD|The guidelines on CVD related to CAD|625ca13741b848cc90a19689e2c681ab|4
CVD prevention|weight maintenance|should be maintained or lost through appropriate physical activity, caloric intake, and formal behavior programs|7250a6b878334bcd8eac0e2c70aef3ff|4
CVD prevention|goal body mass index (BMI)|of < 25 kg/m^2 in women or waist size < 35 inches|7250a6b878334bcd8eac0e2c70aef3ff|4
CVD prevention|recommended exercise time for women and men|is at least 150 minutes/week of moderate exercise or 75 minutes/week of vigorous exercise|7250a6b878334bcd8eac0e2c70aef3ff|4
Endogenous estrogens|Hypertension|maintain|7250a6b878334bcd8eac0e2c70aef3ff|4
Hypertension|Endogenous estrogens|maintain vasodilation and contribute to blood pressure control|50e6eca99ff4403098ecebd3bd2d1d8b|4
Hypertension|Age|risk increases more in elderly women than in elderly men|50e6eca99ff4403098ecebd3bd2d1d8b|4
Hypertension|Race|significantly higher prevalence of hypertension independent of other factors|50e6eca99ff4403098ecebd3bd2d1d8b|4
